City,Country,Lat,Lng,Date,Max Temp,Humidity,Wind Speed,Cloudiness
Georgetown,Guyana,6.8,-58.16,1531000040,82.03,84,3.71,48
Mahebourg,Mauritius,-20.41,57.7,1530997200,69.8,83,2.24,40
Dikson,Russian Federation,73.51,80.55,1531000081,40.45,94,18.14,32
Gorontalo,Indonesia,0.54,123.06,1531000081,73.75,91,4.16,24
Talnakh,Russian Federation,69.49,88.39,1531000081,51.25,58,5.39,76
Isangel,Vanuatu,-19.55,169.27,1531000081,74.38,100,18.25,24
Rikitea,French Polynesia,-23.12,-134.97,1531000082,74.29,100,12.1,8
Barrow,Argentina,-38.31,-60.23,1530999858,45.94,96,7.4,92
Okha,Russian Federation,53.59,142.95,1531000082,54.76,62,7.63,0
Bosaso,Somalia,11.28,49.18,1531000082,90.49,83,10.2,24
Carnarvon,South Africa,-30.97,22.13,1531000082,30.73,66,6.62,0
Spasskoye,Russian Federation,55.86,45.7,1531000082,62.5,94,2.71,88
Mount Gambier,Australia,-37.83,140.78,1530999966,53.14,83,11.1,92
Bluff,Australia,-23.58,149.07,1531000083,47.56,58,12.66,0
Harper,United States,30.3,-99.24,1530998100,86.0,54,8.05,1
Walvis Bay,Namibia,-22.95,14.51,1530997200,80.6,22,10.29,48
Channel-Port Aux Basques,Canada,47.57,-59.14,1531000083,51.88,87,20.49,0
Albany,United States,42.65,-73.75,1530996840,80.6,34,4.7,1
Shar,Nigeria,7.3,8.73,1531000084,75.82,91,6.85,48
Mataura,New Zealand,-46.19,168.86,1531000084,39.91,79,5.61,24
Atuona,French Polynesia,-9.8,-139.03,1531000084,80.05,100,21.5,0
Mar Del Plata,Argentina,-46.43,-67.52,1531000084,33.97,100,4.72,0
Cockburn Town,Turks and Caicos Islands,21.46,-71.14,1531000084,83.11,96,18.25,12
Fort Nelson,Canada,58.81,-122.69,1530997200,62.6,42,3.36,75
Busselton,Australia,-33.64,115.35,1531000085,53.41,100,15.23,0
Zhigansk,Russian Federation,66.77,123.37,1531000085,65.02,92,3.15,8
Port Lincoln,Australia,-34.72,135.86,1531000085,56.92,92,12.44,76
New Norfolk,Australia,-42.78,147.06,1530997200,41.0,80,19.46,75
Puerto Asis,Colombia,0.51,-76.5,1531000085,73.48,94,2.26,92
Tabou,C̫te d'Ivoire,4.42,-7.36,1531000085,78.7,100,10.2,100
Presidencia Roque Saenz Pena,Argentina,-26.79,-60.44,1531000086,57.19,77,10.98,100
Roma,Italy,41.89,12.48,1530998400,77.0,47,5.82,0
Esperance,Trinidad and Tobago,10.24,-61.45,1530997200,84.2,62,12.75,20
Avarua,Cook Islands,-21.21,-159.78,1530997200,71.6,64,14.99,75
Puerto Ayora,Ecuador,-0.74,-90.35,1530997200,78.8,61,13.87,90
Ushuaia,Argentina,-54.81,-68.31,1530997200,35.6,74,6.93,40
Aripuana,Brazil,-9.17,-60.63,1531000086,94.0,20,2.37,0
Thompson,Canada,55.74,-97.86,1530997200,82.4,51,12.75,20
Ancud,Chile,-41.87,-73.83,1531000087,50.98,88,2.59,0
Kem,Uganda,2.68,33.77,1531000087,59.71,94,1.7,20
Saint-Philippe,Canada,45.36,-73.48,1530998100,82.4,32,12.75,20
Cassilandia,Brazil,-19.11,-51.73,1531000087,77.53,44,3.38,0
Vardo,United States,39.62,-77.74,1530998100,80.6,36,5.82,1
Tasiilaq,Greenland,65.61,-37.64,1530996600,42.8,87,12.75,75
Coihaique,Chile,-45.58,-72.07,1530997200,32.0,98,3.36,0
Hilo,United States,19.71,-155.08,1530999600,78.8,78,13.87,75
Hobart,Australia,-42.88,147.33,1530997200,41.0,80,19.46,75
Ligatne,Latvia,57.23,25.04,1531000088,63.31,68,10.76,8
Punta Arenas,Chile,-53.16,-70.91,1530997200,35.6,100,10.29,0
Berdigestyakh,Russian Federation,62.1,126.7,1531000089,72.58,58,6.17,0
San Cristobal,Ecuador,-0.39,-78.55,1530997200,60.8,63,21.92,40
Qaanaaq,Greenland,77.48,-69.36,1531000089,32.8,95,4.16,76
Hasaki,Japan,35.73,140.83,1530997560,77.0,94,6.93,75
Nikolskoye,Russian Federation,59.7,30.79,1530997200,60.8,87,6.71,75
Maniitsoq,Greenland,65.42,-52.9,1531000090,39.1,87,1.59,68
Ambon,France,47.55,-2.56,1530999000,73.4,73,6.93,0
Mayo,Canada,63.59,-135.9,1530997200,68.0,52,4.7,75
Touros,Brazil,-5.2,-35.46,1531000090,75.01,99,10.65,36
Tiksi,Russian Federation,71.64,128.87,1531000090,43.24,96,4.16,92
Sitka,United States,37.17,-99.65,1531000090,90.85,53,9.98,8
Norman Wells,Canada,65.28,-126.83,1530997200,55.4,71,4.7,90
Brae,United Kingdom,60.4,-1.35,1530998400,57.2,71,16.11,0
Sakaraha,Madagascar,-22.91,44.53,1531000091,61.33,66,6.4,0
Puerto Madryn,Argentina,-42.77,-65.04,1531000033,48.01,95,9.53,48
Ponta Do Sol,Brazil,-20.63,-46.0,1531000091,67.9,50,4.5,0
Ust-Ishim,Russian Federation,57.69,71.17,1531000091,68.71,70,4.94,32
Port Elizabeth,United States,39.31,-74.98,1530997320,80.6,41,11.41,1
Cape Town,South Africa,-33.93,18.42,1530997200,48.2,87,1.12,0
Russell,Argentina,-33.01,-68.8,1530997200,51.8,62,6.93,0
Quimper,France,48.0,-4.1,1530999000,71.6,78,5.82,0
Ahipara,New Zealand,-35.17,173.16,1531000092,58.54,96,22.28,92
Kruisfontein,South Africa,-34.0,24.73,1531000093,55.66,89,4.38,0
Los Chiles,Costa Rica,11.04,-84.71,1531000093,77.17,91,5.39,92
Denpasar,Indonesia,-8.65,115.22,1530997200,78.8,78,5.82,40
Bonavista,Canada,48.65,-53.11,1531000093,57.73,65,19.93,12
Tuktoyaktuk,Canada,69.44,-133.03,1530997200,57.2,71,16.11,75
Lompoc,United States,34.64,-120.46,1530997080,95.0,60,17.22,40
Cayenne,French Guiana,4.94,-52.33,1530997200,77.0,94,9.19,76
Longyearbyen,Norway,78.22,15.63,1530996600,50.0,66,6.93,75
Ho Chi Minh City,Viet Nam,10.78,106.7,1530997200,77.0,100,8.05,40
Guerrero Negro,Mexico,27.97,-114.04,1531000094,86.71,38,9.42,0
Deputatskiy,Russian Federation,69.3,139.9,1531000094,64.03,75,4.5,0
Moree,Australia,-29.46,149.84,1531000094,40.18,86,10.2,0
Jamestown,Australia,-33.21,138.6,1531000060,46.66,94,11.99,68
Lorengau,Papua New Guinea,-2.02,147.27,1531000094,81.31,100,14.9,48
Koppang,Norway,61.57,11.04,1531000095,52.06,63,2.15,20
Katsuura,Japan,33.93,134.5,1530998460,75.2,100,17.22,75
Bandundu,"Congo, The Democratic Republic of the",-3.32,17.38,1531000095,75.91,56,9.42,0
East London,South Africa,-33.02,27.91,1531000095,66.46,100,14.12,0
Fukue,Japan,35.03,136.69,1530997200,75.2,94,11.41,75
Winkler,Canada,49.19,-97.94,1530998100,91.4,63,18.34,1
Waipawa,New Zealand,-39.94,176.59,1531000095,57.82,61,12.66,64
Chuy,Uruguay,-33.69,-53.46,1531000096,56.56,97,17.02,92
Ndjole,Gabon,-0.18,10.76,1531000096,73.48,95,2.93,48
Bambous Virieux,Mauritius,-20.34,57.76,1530997200,69.8,83,2.24,40
Hermanus,South Africa,-34.42,19.24,1531000096,41.44,72,2.71,0
Northam,United Kingdom,51.04,-4.21,1530998400,68.0,68,8.05,0
Nanakuli,United States,21.39,-158.15,1530999660,84.2,62,11.41,75
Antofagasta,Chile,-23.65,-70.4,1530997200,57.2,76,8.05,75
Chifeng,China,42.27,118.96,1531000097,65.83,92,3.27,92
Cherskiy,Russian Federation,68.75,161.3,1530999843,51.7,49,9.42,8
Skjervoy,Norway,70.03,20.97,1531000097,49.27,95,4.38,12
Beisfjord,Norway,68.38,17.6,1530998400,51.8,76,5.82,80
Kaitangata,New Zealand,-46.28,169.85,1531000097,38.74,73,8.3,8
Yar-Sale,Russian Federation,66.83,70.83,1531000097,56.74,70,4.72,92
Hashtrud,"Iran, Islamic Republic of",37.48,47.05,1531000098,58.09,36,5.28,0
San Rafael,Argentina,-34.61,-68.33,1531000084,44.23,69,3.49,0
Los Llanos De Aridane,Spain,28.66,-17.92,1530999000,71.6,68,14.99,0
Vaini,India,15.34,74.49,1531000099,67.81,99,4.27,92
Puerto Escondido,Mexico,15.86,-97.07,1530996300,86.0,70,9.17,90
Lander,United States,42.83,-108.73,1530996780,96.8,17,6.93,1
Sao Filipe,Cabo Verde,14.9,-24.5,1531000099,76.18,96,7.18,0
Gornopravdinsk,Russian Federation,60.06,69.92,1531000099,66.91,82,3.94,36
Kapaa,United States,22.08,-159.32,1530996960,84.2,94,19.46,90
Manono,"Congo, The Democratic Republic of the",-7.3,27.4,1531000100,72.31,44,8.63,8
Bonthe,Sierra Leone,7.53,-12.5,1531000100,74.65,100,3.15,92
Bredasdorp,South Africa,-34.53,20.04,1530997200,46.4,70,1.12,0
Katangli,Russian Federation,51.71,143.23,1531000100,48.46,86,2.93,44
Cranbrook,Canada,49.51,-115.76,1530997200,73.4,31,18.34,75
Guadalupe Y Calvo,Mexico,26.09,-106.96,1531000100,61.06,95,1.48,64
Narsaq,Greenland,60.91,-46.05,1530996600,57.2,33,17.22,90
Ostrovnoy,Russian Federation,68.05,39.51,1531000101,45.31,84,13.78,0
Kavieng,Papua New Guinea,-2.57,150.8,1531000101,82.75,100,7.96,56
Hovd,Norway,63.83,10.7,1530998400,53.6,76,1.12,0
Lavrentiya,Russian Federation,65.58,-170.99,1531000101,43.51,100,3.71,44
Severo-Kurilsk,Russian Federation,50.68,156.12,1531000101,47.11,96,4.38,20
Pathanamthitta,India,9.27,76.79,1531000101,72.04,97,6.06,92
Cidreira,Brazil,-30.17,-50.22,1531000102,64.66,96,15.79,100
Orlik,Russian Federation,52.51,99.83,1531000102,34.6,97,2.15,80
Moses Lake,United States,47.13,-119.28,1530997260,80.6,24,9.17,1
Mawlaik,Myanmar,23.63,94.42,1531000102,73.3,99,2.15,88
Genhe,China,50.78,121.52,1531000102,56.83,98,15.23,92
Ribeira Grande,Portugal,38.52,-28.7,1531000102,67.27,100,9.08,92
Sovetskaya Gavan,Russian Federation,48.97,140.29,1531000103,50.62,92,6.62,0
Pisco,Peru,-13.71,-76.2,1530997200,64.4,77,4.7,90
Port Alfred,South Africa,-33.59,26.89,1531000103,59.44,98,7.4,0
Alice Springs,Australia,-23.7,133.88,1530997200,35.6,93,6.93,0
Chegdomyn,Russian Federation,51.13,133.04,1531000103,58.81,82,3.15,64
Singaparna,Indonesia,-7.35,108.11,1531000104,58.81,93,1.81,48
Christchurch,New Zealand,-43.53,172.64,1530999000,50.0,66,16.11,100
Evensk,Russian Federation,61.92,159.24,1531000104,53.86,88,3.6,24
Warmbad,Germany,50.67,13.08,1530998400,64.4,55,2.24,0
Lata,India,30.78,78.62,1531000104,61.51,100,1.81,56
Comodoro Rivadavia,Argentina,-45.87,-67.48,1530997200,44.6,87,2.24,0
Yeniseysk,Russian Federation,58.45,92.17,1531000104,44.5,89,4.94,0
Quatre Cocos,Mauritius,-20.21,57.76,1530997200,69.8,83,2.24,40
Alofi,Niue,-19.06,-169.92,1531000105,73.3,100,22.17,48
Ray,United States,48.34,-103.17,1530998100,91.4,33,6.93,1
Shenjiamen,China,29.96,122.3,1531000105,80.14,94,15.35,44
Butaritari,Kiribati,3.07,172.79,1531000105,81.85,100,10.87,32
Torbay,Canada,47.66,-52.73,1530997200,62.6,59,19.46,40
Khatanga,Russian Federation,71.98,102.47,1531000105,49.18,69,8.19,68
Soldotna,United States,60.48,-151.07,1530996960,66.2,59,12.75,1
Nanortalik,Greenland,60.14,-45.24,1531000106,37.48,94,33.91,80
Talcahuano,Chile,-36.72,-73.12,1530997200,57.2,76,8.05,75
Port Blair,India,11.67,92.75,1530999995,80.5,100,20.94,80
Klaksvik,Faroe Islands,62.23,-6.59,1530998400,51.8,100,20.49,88
Oakdale,United States,37.77,-120.85,1530996900,100.4,16,14.99,1
Makubetsu,Japan,42.84,143.34,1531000107,51.88,100,4.72,92
Zadar,Croatia,44.12,15.24,1530999000,64.4,77,2.24,0
Capinota,"Bolivia, Plurinational State of",-17.71,-66.26,1530997200,80.6,5,3.36,0
Dong Hoi,Viet Nam,17.48,106.6,1531000107,82.03,93,15.12,88
Yulara,Australia,-25.24,130.99,1530997200,39.2,86,5.82,0
Alta Floresta,Brazil,-9.87,-56.08,1531000107,91.48,27,2.04,0
Tavricheskoye,Russian Federation,54.59,73.64,1530997200,64.4,82,11.18,0
Lipari,Italy,38.47,14.95,1530996900,77.0,83,6.93,40
Agadez,Niger,16.97,7.99,1531000108,82.93,24,6.96,0
Geraldton,Canada,49.72,-86.95,1530997200,78.8,50,17.22,75
Petropavlovsk-Kamchatskiy,Russian Federation,53.05,158.65,1530997200,57.2,71,4.47,20
North Bend,United States,43.41,-124.22,1530996960,66.2,59,14.99,1
Ambilobe,Madagascar,-13.19,49.05,1531000108,72.58,64,13.78,0
Senanga,Zambia,-16.1,23.3,1531000108,52.6,82,5.73,24
Newport,United Kingdom,51.59,-3.0,1530998400,68.0,77,3.36,44
Tarancon,Spain,40.01,-3.01,1530997200,78.8,29,4.7,0
Ukiah,United States,39.15,-123.21,1530996960,89.6,19,10.29,1
Awbari,Libya,26.59,12.77,1531000109,88.42,18,8.63,0
Amazar,Russian Federation,53.86,120.88,1531000109,59.44,78,7.96,64
Isabela,Philippines,10.2,122.99,1531000109,72.85,97,1.59,32
Tiarei,French Polynesia,-17.53,-149.33,1530999000,84.2,66,11.41,20
Manta,Romania,45.1,24.1,1531000110,63.76,94,2.15,64
Sandpoint,United States,48.28,-116.55,1530998100,77.0,31,9.17,40
Ampanihy,Madagascar,-24.69,44.75,1531000110,63.13,60,11.43,0
Harrismith,South Africa,-28.27,29.13,1531000110,28.48,81,2.93,20
Americus,United States,32.07,-84.23,1530996900,87.8,43,3.36,1
Cabo San Lucas,Mexico,22.89,-109.91,1530996540,91.4,52,6.93,5
Kropotkin,Russian Federation,45.43,40.58,1531000111,76.45,37,10.42,12
Hithadhoo,Maldives,-0.6,73.08,1531000111,76.81,100,6.62,88
Phuket,Thailand,7.89,98.4,1530997200,80.6,83,4.7,40
Kankan,Guinea,10.38,-9.3,1531000111,74.38,90,4.83,48
Kirakira,Solomon Islands,-10.46,161.92,1531000111,81.58,100,19.26,44
Beirut,Lebanon,33.9,35.48,1530997200,80.6,78,4.7,20
Lebu,Ethiopia,8.96,38.73,1531000111,50.8,95,2.93,56
Bontang,Indonesia,0.12,117.47,1531000112,79.78,100,7.63,68
Karratha,Australia,-20.74,116.85,1531000112,49.9,44,11.77,0
Quesnel,Canada,52.98,-122.49,1530999540,60.8,77,5.82,75
Vaasa,Finland,63.1,21.62,1530998400,59.0,77,6.93,92
Gorodishche,Russian Federation,53.27,45.7,1531000112,62.68,83,2.59,44
Lasa,Cyprus,34.92,32.53,1530999000,78.8,88,4.7,20
Sao Joao Da Barra,Brazil,-21.64,-41.05,1531000112,75.73,93,16.69,0
Nova Era,Brazil,-19.77,-43.04,1531000113,63.04,54,5.61,0
Castro,Chile,-42.48,-73.76,1530999983,49.81,88,2.37,0
Upernavik,Greenland,72.79,-56.15,1531000113,34.96,100,13.0,20
Bandarbeyla,Somalia,9.49,50.81,1531000113,80.95,73,26.64,20
Oranjestad,Aruba,12.52,-70.03,1530997200,84.2,70,26.4,20
Salalah,Oman,17.01,54.1,1530996600,80.6,88,8.05,90
Meulaboh,Indonesia,4.14,96.13,1531000114,78.25,100,4.38,68
Barentu,Eritrea,15.11,37.59,1531000114,64.3,94,2.71,0
Slave Lake,Canada,55.28,-114.77,1530999480,55.4,82,13.87,90
Port-Gentil,Gabon,-0.72,8.78,1530997200,75.2,88,8.05,75
Wamba,"Congo, The Democratic Republic of the",2.14,27.99,1531000114,69.25,81,0.58,0
Yellowknife,Canada,62.45,-114.38,1530997200,55.4,54,13.87,75
Yelanskiy,Russian Federation,56.84,62.5,1531000114,63.4,84,2.71,56
Gat,Senegal,14.69,-16.54,1531000115,81.58,72,8.63,64
Monterey,United States,36.6,-121.89,1530996840,73.4,52,9.17,1
Harnosand,Sweden,62.63,17.94,1530998400,60.8,48,13.87,0
Southbridge,United States,42.08,-72.03,1530996960,80.6,38,4.7,20
Madison,United States,43.07,-89.38,1530999300,82.4,32,10.29,1
Progreso,Uruguay,-34.68,-56.22,1530997200,53.6,93,13.87,90
Sorland,Norway,67.67,12.69,1531000116,51.16,97,15.35,88
Kuryk,Kazakhstan,43.18,51.68,1531000116,81.58,67,16.24,8
Flinders,Australia,-34.58,150.85,1530997200,50.0,57,13.87,0
Neiafu,Tonga,-18.65,-173.98,1530997200,73.4,83,9.17,40
Azuaga,Spain,38.26,-5.68,1531000117,80.41,35,5.84,12
Richards Bay,South Africa,-28.77,32.06,1531000117,53.32,95,3.04,0
Cabedelo,Brazil,-6.97,-34.84,1531000117,79.24,86,15.68,8
Bethel,United States,60.79,-161.76,1530996780,60.8,72,6.93,90
Altay,China,47.83,88.13,1531000118,47.56,51,4.83,0
Palmares Do Sul,Brazil,-30.26,-50.51,1530997200,66.2,93,2.24,0
Puerto Barrios,Guatemala,15.72,-88.58,1530997200,87.8,66,9.17,40
Iquitos,Peru,-3.75,-73.25,1530997200,91.4,52,3.36,40
Tura,India,25.52,90.21,1531000118,78.7,93,3.49,56
Carutapera,Brazil,-1.2,-46.02,1531000118,75.01,100,7.29,80
Coquimbo,Chile,-29.95,-71.34,1530997200,60.8,77,10.29,0
Plettenberg Bay,South Africa,-34.05,23.37,1531000119,64.84,89,4.72,0
Yeppoon,Australia,-23.13,150.74,1530997200,55.4,47,6.93,0
Nassau,Germany,51.17,13.51,1530998400,64.4,45,3.36,0
Bandar-E Lengeh,"Iran, Islamic Republic of",26.56,54.88,1530997200,89.6,79,4.7,24
Panaba,Mexico,21.28,-88.27,1531000119,77.71,100,7.52,32
Gibara,Cuba,21.11,-76.13,1530996600,87.8,62,6.93,40
Narovchat,Russian Federation,53.88,43.7,1531000120,59.89,89,2.93,8
Bambanglipuro,Indonesia,-7.95,110.28,1531000120,64.12,94,2.37,0
Victoria,Brunei Darussalam,5.28,115.24,1530997200,78.8,94,1.12,75
Pevek,Russian Federation,69.7,170.27,1531000120,38.83,87,13.44,12
Puerto Leguizamo,Colombia,-0.19,-74.78,1531000120,78.88,84,3.15,80
Belle Fourche,United States,44.67,-103.85,1530998100,89.6,46,6.93,1
Port Pirie,Australia,-33.18,138.01,1530997200,53.6,71,8.05,90
Dalen,Netherlands,52.7,6.76,1530998700,55.4,82,2.24,12
Nyakabindi,"Tanzania, United Republic of",-2.63,33.98,1531000121,67.45,48,9.42,48
Marawi,Philippines,8.0,124.29,1531000121,63.76,96,2.04,0
Pangnirtung,Canada,66.15,-65.72,1531000121,37.03,94,4.05,0
Saldanha,Portugal,41.42,-6.55,1531000121,68.44,68,3.15,8
Arraial Do Cabo,Brazil,-22.97,-42.02,1530997200,73.4,78,16.11,0
Lahaina,United States,20.87,-156.68,1530999840,78.8,88,14.99,90
Inhambane,Mozambique,-23.87,35.38,1531000122,69.7,95,12.33,88
Cascais,Portugal,38.7,-9.42,1530999000,69.8,82,8.05,20
Tullamore,Ireland,53.27,-7.49,1530997200,64.4,72,5.82,20
Mabaruma,Guyana,8.2,-59.78,1531000122,80.23,88,6.17,88
Saint Anthony,United States,43.97,-111.68,1530998880,87.8,19,12.75,1
Poum,"Macedonia, Republic of",41.28,20.71,1530997200,60.8,82,2.24,20
Whitehorse,Canada,60.72,-135.06,1530997200,64.4,72,5.82,75
Zelenoborskiy,Russian Federation,66.84,32.36,1531000123,59.71,55,8.75,8
Xunchang,China,28.45,104.71,1531000123,71.14,97,2.59,92
Srednekolymsk,Russian Federation,67.46,153.71,1531000123,65.47,62,6.62,20
